"service_id","date","exception_type"
"1_1_20260901","20260921","2"
"1_3_20260901","20260921","1"
"1_1_20260901","20260922","2"
"1_3_20260901","20260922","1"
"1_1_20260901","20260923","2"
"1_3_20260901","20260923","1"
"1_1_20260901","20261012","2"
"1_3_20260901","20261012","1"
"1_1_20260901","20261103","2"
"1_3_20260901","20261103","1"
"1_1_20260901","20261123","2"
"1_3_20260901","20261123","1"
"1_1_20260901","20261230","2"
"1_3_20260901","20261230","1"
"1_1_20260901","20261231","2"
"1_3_20260901","20261231","1"
