"fare_id","route_id","origin_id","destination_id","contains_id"
"1_1072_2_180_20250315","1_1072_2_20250315","100001_1","100002_3",
"1_1082_2_180_20250315","1_1082_2_20250315","100001_1","100002_3",
"1_1092_2_180_20250315","1_1092_2_20250315","100001_1","100002_3",
"1_1112_2_180_20250315","1_1112_2_20250315","100001_1","100002_3",
"1_2012_2_180_20250315","1_2012_2_20250315","100001_1","100002_23",
"1_2112_2_180_20250315","1_2112_2_20250315","100001_1","100002_23",
"1_2212_2_180_20250315","1_2212_2_20250315","100001_1","100002_23",
"1_1071_1_180_20250315","1_1071_1_20250315","100001_2","100003_3",
"1_1081_1_180_20250315","1_1081_1_20250315","100001_2","100003_3",
"1_1091_1_180_20250315","1_1091_1_20250315","100001_2","100003_3",
"1_1111_1_180_20250315","1_1111_1_20250315","100001_2","100003_3",
"1_2011_1_180_20250315","1_2011_1_20250315","100001_2","100003_3",
"1_2111_1_180_20250315","1_2111_1_20250315","100001_2","100003_3",
"1_2211_1_180_20250315","1_2211_1_20250315","100001_2","100003_3",
"1_2161_1_360_20250315","1_2161_1_20250315","100001_2","100003_3",
"1_1071_1_180_20250315","1_1071_1_20250315","100001_2","100004_5",
"1_1081_1_180_20250315","1_1081_1_20250315","100001_2","100004_5",
"1_1091_1_180_20250315","1_1091_1_20250315","100001_2","100004_5",
"1_1111_1_180_20250315","1_1111_1_20250315","100001_2","100004_5",
"1_2011_1_180_20250315","1_2011_1_20250315","100001_2","100004_5",
"1_2111_1_180_20250315","1_2111_1_20250315","100001_2","100004_5",
"1_2211_1_180_20250315","1_2211_1_20250315","100001_2","100004_5",
"1_2161_1_360_20250315","1_2161_1_20250315","100001_2","100004_5",
"1_1072_2_180_20250315","1_1072_2_20250315","100001_1","100300_2",
"1_1082_2_180_20250315","1_1082_2_20250315","100001_1","100300_2",
"1_1092_2_180_20250315","1_1092_2_20250315","100001_1","100300_2",
"1_1112_2_180_20250315","1_1112_2_20250315","100001_1","100300_2",
"1_1072_2_180_20250315","1_1072_2_20250315","100001_1","100339_1",
"1_1112_2_180_20250315","1_1112_2_20250315","100001_1","100339_1",
"1_1082_2_180_20250315","1_1082_2_20250315","100001_1","100339_5",
"1_1092_2_180_20250315","1_1092_2_20250315","100001_1","100339_5",
"1_1072_2_180_20250315","1_1072_2_20250315","100001_1","100341_2",
"1_1082_2_180_20250315","1_1082_2_20250315","100001_1","100341_2",
"1_1092_2_180_20250315","1_1092_2_20250315","100001_1","100341_2",
"1_1112_2_180_20250315","1_1112_2_20250315","100001_1","100341_2",
"1_1072_2_180_20250315","1_1072_2_20250315","100001_1","100342_2",
"1_1082_2_180_20250315","1_1082_2_20250315","100001_1","100342_2",
"1_1092_2_180_20250315","1_1092_2_20250315","100001_1","100342_2",
"1_1112_2_180_20250315","1_1112_2_20250315","100001_1","100342_2",
"1_1072_2_180_20250315","1_1072_2_20250315","100001_1","100343_2",
"1_1082_2_180_20250315","1_1082_2_20250315","100001_1","100343_2",
"1_1092_2_180_20250315","1_1092_2_20250315","100001_1","100343_2",
"1_1112_2_180_20250315","1_1112_2_20250315","100001_1","100343_2",
"1_1072_2_180_20250315","1_1072_2_20250315","100001_1","100520_2",
