"route_id","agency_id","route_short_name","route_long_name","route_desc","route_type","route_url","route_color","route_text_color","jp_parent_route_id"
"1_1071_1_20240401","1330001001517","","C3-2：熊本駅前→桜町バスターミナル→水道町→坪井→山室→御代志→菊池プラザ",,"3",,,,"菊池線"
"1_1071_1_20240429","1330001001517","","C3-2：熊本駅前→桜町バスターミナル→水道町→坪井→山室→御代志→菊池プラザ",,"3",,,,"菊池線"
"1_1071_1_20240430","1330001001517","","C3-2：熊本駅前→桜町バスターミナル→水道町→坪井→山室→御代志→菊池プラザ",,"3",,,,"菊池線"
"1_1072_2_20240401","1330001001517","","C3-2：菊池プラザ→御代志→山室→坪井→水道町→桜町バスターミナル→熊本駅前",,"3",,,,"菊池線"
"1_1072_2_20240429","1330001001517","","C3-2：菊池プラザ→御代志→山室→坪井→水道町→桜町バスターミナル→熊本駅前",,"3",,,,"菊池線"
"1_1072_2_20240430","1330001001517","","C3-2：菊池プラザ→御代志→山室→坪井→水道町→桜町バスターミナル→熊本駅前",,"3",,,,"菊池線"
"1_1081_1_20240401","1330001001517","","C3-3：蓮台寺入口→熊本駅前→桜町バスターミナル→水道町→坪井→山室→御代志→菊池温泉",,"3",,,,"菊池線"
"1_1081_1_20240429","1330001001517","","C3-3：蓮台寺入口→熊本駅前→桜町バスターミナル→水道町→坪井→山室→御代志→菊池温泉",,"3",,,,"菊池線"
"1_1081_1_20240430","1330001001517","","C3-3：蓮台寺入口→熊本駅前→桜町バスターミナル→水道町→坪井→山室→御代志→菊池温泉",,"3",,,,"菊池線"
"1_1082_2_20240401","1330001001517","","C3-3：菊池温泉→御代志→山室→坪井→桜町バスターミナル→熊本駅前→蓮台寺入口",,"3",,,,"菊池線"
"1_1082_2_20240429","1330001001517","","C3-3：菊池温泉→御代志→山室→坪井→桜町バスターミナル→熊本駅前→蓮台寺入口",,"3",,,,"菊池線"
"1_1082_2_20240430","1330001001517","","C3-3：菊池温泉→御代志→山室→坪井→桜町バスターミナル→熊本駅前→蓮台寺入口",,"3",,,,"菊池線"
