"route_id","route_update_date","origin_stop","via_stop","destination_stop"
"2_8082_2_20240619","20240619","菊池温泉・市民広場前",,"御代志"
"10021_2692_2_20240624","20240624","光の森駅",,"桜町バスターミナル"
"1_2112_2_20240619","20240619","菊池プラザ",,"桜町バスターミナル"
"1_1211_1_20240619","20240619","熊本駅前",,"辻久保"
"10_2922_2_20240619","20240619","高平南公園",,"薬園町"
"8_2772_2_20240619","20240619","植木駐車場",,"桜町バスターミナル"
"10020_1591_1_20240624","20240624","熊本駅前",,"光の森駅"
"10023_3032_2_20240624","20240624","楠団地（二里木経由）",,"桜町バスターミナル"
"12_3852_2_20240624","20240624","藤崎宮前駅",,"熊本駅前"
"10023_3001_1_20240619","20240619","熊本駅前",,"楠団地（二里木経由）"
"1_4031_1_20240619","20240619","辻久保",,"菊池プラザ"
"10020_3842_2_20240619","20240619","武蔵ヶ丘車庫前",,"桜町バスターミナル"
"10020_1542_2_20240619","20240619","武蔵ヶ丘車庫前",,"熊本駅前"
"10021_1512_2_20240619","20240619","武蔵ヶ丘車庫前",,"熊本駅前"
"10021_2691_1_20240619","20240619","桜町バスターミナル",,"光の森駅"
"1_1082_2_20240624","20240624","菊池温泉・市民広場前",,"蓮台寺入口"
"1_1212_2_20240619","20240619","辻久保",,"熊本駅前"
"7_9212_2_20240619","20240619","楠団地（楡木経由）",,"竜田口駅前"
"10018_8021_1_20240624","20240624","辻久保",,"菊池プラザ"
"7_9211_1_20240624","20240624","竜田口駅前",,"楠団地（楡木経由）"
"1_2012_2_20240624","20240624","菊池温泉・市民広場前",,"桜町バスターミナル"
"10020_3562_2_20240624","20240624","下群",,"桜町バスターミナル"
"1_1212_2_20240624","20240624","辻久保",,"熊本駅前"
"7_9212_2_20240624","20240624","楠団地（楡木経由）",,"竜田口駅前"
"10018_8021_1_20240619","20240619","辻久保",,"菊池プラザ"
"7_9211_1_20240619","20240619","竜田口駅前",,"楠団地（楡木経由）"
"1_2012_2_20240619","20240619","菊池温泉・市民広場前",,"桜町バスターミナル"
"10020_3562_2_20240619","20240619","下群",,"桜町バスターミナル"
"10020_3842_2_20240624","20240624","武蔵ヶ丘車庫前",,"桜町バスターミナル"
"10020_1542_2_20240624","20240624","武蔵ヶ丘車庫前",,"熊本駅前"
"10021_1512_2_20240624","20240624","武蔵ヶ丘車庫前",,"熊本駅前"
"10021_2691_1_20240624","20240624","桜町バスターミナル",,"光の森駅"
"1_1082_2_20240619","20240619","菊池温泉・市民広場前",,"蓮台寺入口"
"1_2111_1_20240624","20240624","桜町バスターミナル",,"菊池プラザ"
"8_2772_2_20240624","20240624","植木駐車場",,"桜町バスターミナル"
"10020_1591_1_20240619","20240619","熊本駅前",,"光の森駅"
"10023_3032_2_20240619","20240619","楠団地（二里木経由）",,"桜町バスターミナル"
"12_3852_2_20240619","20240619","藤崎宮前駅",,"熊本駅前"
"10020_1522_2_20240619","20240619","武蔵ヶ丘車庫前",,"熊本駅前"
"10018_8022_2_20240619","20240619","菊池プラザ",,"辻久保"
"10023_3001_1_20240624","20240624","熊本駅前",,"楠団地（二里木経由）"
"1_4031_1_20240624","20240624","辻久保",,"菊池プラザ"
"10020_3421_1_20240624","20240624","熊本駅前",,"下群"
"10020_1541_1_20240624","20240624","熊本駅前",,"武蔵ヶ丘車庫前"
"1_2231_1_20240624","20240624","桜町バスターミナル",,"辻久保"
"60_9552_2_20240619","20240619","アンビー熊本",,"辻久保"
"2_8082_2_20240624","20240624","菊池温泉・市民広場前",,"御代志"
"10021_2692_2_20240619","20240619","光の森駅",,"桜町バスターミナル"
"1_2112_2_20240624","20240624","菊池プラザ",,"桜町バスターミナル"
"1_1211_1_20240624","20240624","熊本駅前",,"辻久保"
"1_4032_2_20240624","20240624","菊池プラザ",,"辻久保"
"10_2922_2_20240624","20240624","高平南公園",,"薬園町"
"10023_3091_1_20240619","20240619","熊本駅前",,"光の森駅"
"7_2582_2_20240619","20240619","武蔵ヶ丘車庫前",,"桜町バスターミナル"
"7_2562_2_20240619","20240619","武蔵ヶ丘車庫前",,"桜町バスターミナル"
"10021_2312_2_20240619","20240619","杉並台団地",,"桜町バスターミナル"
"8_2771_1_20240624","20240624","桜町バスターミナル",,"植木駐車場"
"10020_2541_1_20240619","20240619","桜町バスターミナル",,"武蔵ヶ丘車庫前"
"10020_2601_1_20240624","20240624","桜町バスターミナル",,"光の森駅"
"1_8061_1_20240619","20240619","黒石・ポリテクセンター熊本前",,"菊池温泉・市民広場前"
"60_9551_1_20240624","20240624","辻久保",,"アンビー熊本"
"1_2232_2_20240624","20240624","辻久保",,"桜町バスターミナル"
"1_2211_1_20240619","20240619","桜町バスターミナル",,"辻久保"
"1_8041_1_20240624","20240624","須屋西",,"菊池温泉・市民広場前"
"10020_5421_1_20240624","20240624","県会議事堂前",,"下群"
"10023_3062_2_20240624","20240624","武蔵ヶ丘車庫前",,"桜町バスターミナル"
"8_2722_2_20240619","20240619","植木駐車場",,"桜町バスターミナル"
"10021_3511_1_20240624","20240624","桜町バスターミナル",,"下群"
"10020_2332_2_20240619","20240619","杉並台団地",,"桜町バスターミナル"
"1_2151_1_20240624","20240624","桜町バスターミナル",,"菊池プラザ"
"10021_1511_1_20240619","20240619","熊本駅前",,"武蔵ヶ丘車庫前"
"10021_3411_1_20240624","20240624","熊本駅前",,"下群"
"2_8102_2_20240619","20240619","菊池温泉・市民広場前",,"再春医療センター"
"10020_2531_1_20240619","20240619","桜町バスターミナル",,"武蔵ヶ丘車庫前"
"1_2161_1_20240624","20240624","桜町バスターミナル",,"菊池プラザ"
"23_9251_1_20240619","20240619","原水駅北口",,"原水駅（終点）"
"10020_3561_1_20240619","20240619","桜町バスターミナル",,"下群"
"10021_3772_2_20240619","20240619","合志市役所（ヴィーブル）",,"桜町バスターミナル"
"10003_5212_2_20240624","20240624","県会議事堂前",,"桜町バスターミナル"
"10020_3881_1_20240624","20240624","熊本駅前",,"楠団地（楡木経由）"
"10023_3082_2_20240619","20240619","光の森駅",,"桜町バスターミナル"
"10020_2361_1_20240619","20240619","桜町バスターミナル",,"杉並台団地"
"10020_3531_1_20240624","20240624","桜町バスターミナル",,"下群"
"23_9241_1_20240619","20240619","原水駅北口",,"原水駅（終点）"
"1_8031_1_20240619","20240619","須屋駅前",,"菊池温泉・市民広場前"
"60_9542_2_20240619","20240619","アンビー熊本",,"辻久保"
"10021_1772_2_20240624","20240624","合志市役所（ヴィーブル）",,"熊本駅前"
"2_8101_1_20240624","20240624","再春医療センター",,"菊池温泉・市民広場前"
"10021_1771_1_20240624","20240624","熊本駅前",,"合志市役所（ヴィーブル）"
"23_9151_1_20240619","20240619","原水駅北口",,"原水駅（終点）"
"8_2741_1_20240619","20240619","桜町バスターミナル",,"立石（熊本）"
"2_8081_1_20240624","20240624","御代志",,"菊池温泉・市民広場前"
"10021_2512_2_20240624","20240624","武蔵ヶ丘車庫前",,"桜町バスターミナル"
"10023_3081_1_20240619","20240619","桜町バスターミナル",,"光の森駅"
"2_8101_1_20240619","20240619","再春医療センター",,"菊池温泉・市民広場前"
"10021_1771_1_20240619","20240619","熊本駅前",,"合志市役所（ヴィーブル）"
"23_9151_1_20240624","20240624","原水駅北口",,"原水駅（終点）"
"8_2741_1_20240624","20240624","桜町バスターミナル",,"立石（熊本）"
"2_8081_1_20240619","20240619","御代志",,"菊池温泉・市民広場前"
"10021_2512_2_20240619","20240619","武蔵ヶ丘車庫前",,"桜町バスターミナル"
"10023_3081_1_20240624","20240624","桜町バスターミナル",,"光の森駅"
"1_2161_1_20240619","20240619","桜町バスターミナル",,"菊池プラザ"
"23_9251_1_20240624","20240624","原水駅北口",,"原水駅（終点）"
