"stop_id","stop_code","stop_name","stop_desc","stop_lat","stop_lon","zone_id","stop_url","location_type","parent_station","stop_timezone","wheelchair_boarding","platform_code"
"100001_1",,"市役所前（熊本）",,"32.803623","130.70784","100001_1",,"0",,,,
"100001_2",,"市役所前（熊本）",,"32.803333","130.7071","100001_2",,"0",,,,
"100002_3",,"桜町バスターミナル",,"32.8001","130.70395","100002_3",,"0",,,,"3"
"100002_16",,"桜町バスターミナル",,"32.800323","130.7039","100002_16",,"0",,,,"16"
"100002_17",,"桜町バスターミナル",,"32.800243","130.7039","100002_17",,"0",,,,"17"
"100002_19",,"桜町バスターミナル",,"32.800182","130.70357","100002_19",,"0",,,,"19"
"100002_23",,"桜町バスターミナル",,"32.80049","130.70364","100002_23",,"0",,,,"23"
"100002_24",,"桜町バスターミナル",,"32.800514","130.70355","100002_24",,"0",,,,"24"
"100003_1",,"通町筋",,"32.802666","130.71098","100003_1",,"0",,,,
"100003_3",,"通町筋",,"32.80282","130.71152","100003_3",,"0",,,,
"100004_1",,"水道町",,"32.801884","130.71382","100004_1",,"0",,,,"1"
"100004_2",,"水道町",,"32.80209","130.71408","100004_2",,"0",,,,"2"
"100004_4",,"水道町",,"32.802788","130.71335","100004_4",,"0",,,,"4"
"100004_5",,"水道町",,"32.803","130.71313","100004_5",,"0",,,,"5"
"100175_1",,"九品寺交差点",,"32.80034","130.7167","100175_1",,"0",,,,
"100175_2",,"九品寺交差点",,"32.800438","130.71701","100175_2",,"0",,,,
"100176_1",,"交通局前",,"32.798557","130.71864","100176_1",,"0",,,,
"100176_2",,"交通局前",,"32.798523","130.71916","100176_2",,"0",,,,
"100177_1",,"九州学院前",,"32.79698","130.72037","100177_1",,"0",,,,
"100177_2",,"九州学院前",,"32.79737","130.72044","100177_2",,"0",,,,
"100180_1",,"国府",,"32.791485","130.72981","100180_1",,"0",,,,
"100180_2",,"国府",,"32.791462","130.73024","100180_2",,"0",,,,
"100182_1",,"砂取校前",,"32.787373","130.73706","100182_1",,"0",,,,
"100182_2",,"砂取校前",,"32.787624","130.73816","100182_2",,"0",,,,
"100183_1",,"熊本県庁前",,"32.787632","130.74057","100183_1",,"0",,,,
"100183_2",,"熊本県庁前",,"32.78785","130.74144","100183_2",,"0",,,,
"100184_1",,"北窪",,"32.787766","130.74516","100184_1",,"0",,,,
"100184_2",,"北窪",,"32.787918","130.7449","100184_2",,"0",,,,
"100300_1",,"河原町（熊本 市道）",,"32.795513","130.70204","100300_1",,"0",,,,
"100300_2",,"河原町（熊本 市道）",,"32.796","130.70235","100300_2",,"0",,,,
"100339_1",,"熊本駅前",,"32.790318","130.6893","100339_1",,"0",,,,"1"
"100339_2",,"熊本駅前",,"32.79059","130.6894","100339_2",,"0",,,,"2"
"100339_5",,"熊本駅前",,"32.79073","130.68983","100339_5",,"0",,,,"5"
"100341_1",,"祇園橋（市道）",,"32.79299","130.6948","100341_1",,"0",,,,
"100341_2",,"祇園橋（市道）",,"32.7928","130.69514","100341_2",,"0",,,,
"100342_1",,"呉服町（熊本市）",,"32.79608","130.69725","100342_1",,"0",,,,
"100342_2",,"呉服町（熊本市）",,"32.79544","130.69688","100342_2",,"0",,,,
"100343_1",,"商工会議所前（熊本）",,"32.79555","130.69902","100343_1",,"0",,,,
"100343_2",,"商工会議所前（熊本）",,"32.795395","130.69907","100343_2",,"0",,,,
"100348_2",,"下通筋",,"32.80065","130.70868","100348_2",,"0",,,,
"100421_1",,"県会議事堂前",,"32.78937","130.7461","100421_1",,"0",,,,
"100421_3",,"県会議事堂前",,"32.78986","130.74554","100421_3",,"0",,,,
"100474_3",,"内坪井",,"32.813015","130.70949","100474_3",,"0",,,,
"100520_1",,"北岡神社前",,"32.791428","130.69154","100520_1",,"0",,,,
"100520_2",,"北岡神社前",,"32.791424","130.69194","100520_2",,"0",,,,
