"route_id","service_id","trip_id","trip_headsign","trip_short_name","direction_id","block_id","shape_id","jp_trip_desc","jp_trip_desc_symbol","jp_office_id"
"1_1071_1_20241231","1_1_20241231","1_101000121_20241231","菊池プラザ",,,,,,,"1"
"1_1071_1_20241231","1_2_20241231","2_201000120_20241231","菊池プラザ",,,,,,,"1"
"1_1071_1_20241231","1_3_20241231","3_301000167_20241231","菊池プラザ",,,,,,,"1"
"1_1071_1_20241231","1_5_20241231","5_401000121_20241231","菊池プラザ",,,,,,,"1"
"1_1081_1_20241231","1_1_20241231","1_101000255_20241231","菊池温泉・市民広場前",,,,,,,"1"
"1_1081_1_20241231","1_1_20241231","1_101000215_20241231","菊池温泉・市民広場前",,,,,,,"1"
"1_1081_1_20241231","1_1_20241231","1_101000234_20241231","菊池温泉・市民広場前",,,,,,,"1"
"1_1081_1_20241231","1_1_20241231","1_101000287_20241231","菊池温泉・市民広場前",,,,,,,"1"
"1_1081_1_20241231","1_1_20241231","1_101000162_20241231","菊池温泉・市民広場前",,,,,,,"1"
"1_1081_1_20241231","1_1_20241231","1_101000103_20241231","菊池温泉・市民広場前",,,,,,,"1"
"1_1081_1_20241231","1_1_20241231","1_101000088_20241231","菊池温泉・市民広場前",,,,,,,"1"
"1_1081_1_20241231","1_1_20241231","1_101000175_20241231","菊池温泉・市民広場前",,,,,,,"1"
"1_1081_1_20241231","1_1_20241231","1_101000158_20241231","菊池温泉・市民広場前",,,,,,,"1"
"1_1081_1_20241231","1_1_20241231","1_101000080_20241231","菊池温泉・市民広場前",,,,,,,"1"
"1_1081_1_20241231","1_2_20241231","2_201000199_20241231","菊池温泉・市民広場前",,,,,,,"1"
"1_1081_1_20241231","1_2_20241231","2_201000240_20241231","菊池温泉・市民広場前",,,,,,,"1"
"1_1081_1_20241231","1_2_20241231","2_201000018_20241231","菊池温泉・市民広場前",,,,,,,"1"
"1_1081_1_20241231","1_2_20241231","2_201000057_20241231","菊池温泉・市民広場前",,,,,,,"1"
"1_1081_1_20241231","1_2_20241231","2_201000210_20241231","菊池温泉・市民広場前",,,,,,,"1"
"1_1081_1_20241231","1_2_20241231","2_201000201_20241231","菊池温泉・市民広場前",,,,,,,"1"
"1_1081_1_20241231","1_2_20241231","2_201000006_20241231","菊池温泉・市民広場前",,,,,,,"1"
"1_1081_1_20241231","1_2_20241231","2_201000092_20241231","菊池温泉・市民広場前",,,,,,,"1"
"1_1081_1_20241231","1_2_20241231","2_201000136_20241231","菊池温泉・市民広場前",,,,,,,"1"
"1_1081_1_20241231","1_3_20241231","3_301000164_20241231","菊池温泉・市民広場前",,,,,,,"1"
"1_1081_1_20241231","1_3_20241231","3_301000145_20241231","菊池温泉・市民広場前",,,,,,,"1"
"1_1081_1_20241231","1_3_20241231","3_301000124_20241231","菊池温泉・市民広場前",,,,,,,"1"
"1_1081_1_20241231","1_3_20241231","3_301000087_20241231","菊池温泉・市民広場前",,,,,,,"1"
"1_1081_1_20241231","1_3_20241231","3_301000139_20241231","菊池温泉・市民広場前",,,,,,,"1"
"1_1081_1_20241231","1_3_20241231","3_301000119_20241231","菊池温泉・市民広場前",,,,,,,"1"
"1_1081_1_20241231","1_3_20241231","3_301000126_20241231","菊池温泉・市民広場前",,,,,,,"1"
"1_1081_1_20241231","1_3_20241231","3_301000135_20241231","菊池温泉・市民広場前",,,,,,,"1"
"1_1081_1_20241231","1_3_20241231","3_301000093_20241231","菊池温泉・市民広場前",,,,,,,"1"
"1_1081_1_20241231","1_4_20241231","4_501000021_20241231","菊池温泉・市民広場前",,,,,,,"1"
"1_1081_1_20241231","1_4_20241231","4_501000022_20241231","菊池温泉・市民広場前",,,,,,,"1"
